,addresses,postal_codes,districts,house_types,Sold:,List:,Taxes:,DOM:,Lot:,Rms:,Bedrooms:,Washrms:,Client Remks:,Extras:,Brkage Remks:,Kitchens:,Fam Rm:,Basement:,Fireplace/Stv:,Heat:,A/C:,Central Vac:,Apx Age:,Apx Sqft:,Assessment:,POTL:,Laundry lev:,Exterior:,Drive:,Gar/Gar Spcs:,Drive Pk Spcs:,Tot Pk Spcs:,UFFI:,Pool:,Prop Feat:,Zoning:,Cable TV:,Hydro:,Gas:,Phone:,Water:,Water Supply:,Sewer:,Waterfront:,Retirement:,Farm/Agr:,Oth Struct:,,Spec Desig:
0,91 Allenby Ave,M9W1S7,Toronto W10,1 1/2 Storey,"$552,500","$568,000","$2,277.73",42,44 x 114 Feet,5,2 + 1,2,"Detached Home Lovingly Maintained By Same Owner For Over 40 Years! Convenient Location Close To All Amenities, Highway, Transit + More. Hardwood Under Broadloom In Principal Rooms. Dining Room Was 3rd Bdrm (Closet Removed). Note: Fridge + Cupboard In Kitchen Protrude Into Living Room (Unfinished Behind Book Shelves).  Book Shelf (Cupboard) In Hall (Leading To Back Door) Hides Entrance Way To Living Room.","Fridge, Stove, Dishwasher, Washer, Dryer, Electric Light Fixtures, Drapery Tracks, Garden Shed, Cupboard In Kitchen (Between Kit+Lr).  Exclude: Shelf On Wall In Lr; Wall Lamps In Lr/Dr; Coat Rack In Front Hall, Dining Room Drapes+Rods",Note: 4 Piece Bathroom Has Small Leak At Cauking (In As-In Condition),1,N,Finished,Y,Forced Air / Gas,Central Air,N,,,,,,Brick,Private,None / 0.0,3,3,,None,,,,,,,Municipal,,Sewers,,N,,,,Unknown
1,50 Exmoor Dr,M8W1R5,Toronto W06,Bungalow,"$615,000","$629,000","$2,108.99",22,50 x 80 Feet,5 + 3,3 + 1,2,"Great Opportunity For First-Time Buyer In Prime Long Branch.  Detached, 3 Bedroom With Finished Basement & Private Drive.   Main Floor Features Hardwood Floors, Open Concept Living/Dining/Kitchen & W/O From Master To Deck & Above Ground Pool.  Basement Apartment With Separate Entrance For Income Potential.  Steps To Long Branch Go Station, Ttc/Mississauga Transit Loop, Marie Curtis Park & The Lake.  Easy Access To Highways, Downtown And Sherway Gardens.","Existing Light Fixtures, 2 Fridges, 2 Stoves, Above-Range Microwave/Fan, Dishwasher, Washer, Dryer, Above Ground Pool, Hot Tub, Backyard Cabana, Gas Burner & Equipment, Window A/C Units.  Exclude; D/R Chandelier & Back Deck Standing Lights.",Please Attach Schedule B To All Offers.  Bank Draft Or Certified Cheque Upon Acceptance.  Basement Tenant Vacating End Of August. Pool Is Easy To Remove.  Great Vegetable Garden In Front.,2,N,Apartment,N,Forced Air / Gas,Window Unit,N,,,,,,Alum Siding,Private,None / 0.0,4,4,No,Abv Grnd,"Cul De Sac, Fenced Yard, Public Transit",,,,,,Municipal,,Sewers,,,,,,Unknown
2,1 Vicross Rd,M4B3K7,Toronto E03,Bungalow,"$615,700","$639,995","$2,370.61",70,40 x 100 Feet,4 + 2,2,1,"Fantastic Lot 40X100 Ft.,Great Location! Well Maintained And Up To Date Detached Bungalow In Quiet Area! Hardwood Floors On Main Floor With Walkout To Nicely Done Backyard From Kitchen. New Roof(4 Months Old), New Landscaping (2 Yrs), Wood Fence & Gates(2 Yrs) Perfect For First Time Buyers, Starter Families,Builders And Renovators Or Just For Investment. A Must See!","Fridge, Stove, Washer. All Window Coverings, Gas Burner & Equipment And All Electric Lights And Fixtures. Hwt Rental.","Please Include Schedule B & Form 801 With Offer. No Survey Available.  Buyer/Buyer's Agent To Verify All Taxes, Measurements.  Deposit To Be Certified Cheque/Bank Draft.  Friendly Pet Won't Be There During Showings.  Thank You For Showing!",1,N,Part Fin,N,Forced Air / Gas,Window Unit,N,,,,,,Other / Vinyl Siding,Mutual,None / 0.0,3,3,,None,Cul De Sac,,,,,,Municipal,,Sewers,,,,,,Unknown
3,35 Bentwick Cres,M9V2R9,Toronto W10,Bungalow,"$675,000","$698,000","$2,754.10",29,50.4 x 112.43 Feet,6 + 2,3 + 1,2,"Stunning & Spacious Bungalow On Lg Lot! Desirable Family Neighborhood In Thistletown Village! Updated Kitchen W/ Tumbled Marble Tiles, Quartz Countertops, New 3/4 Oak Wood Flrs T/O. Meticulously Updated Bthrms W/ Marble Counter, European Faucet, Jacuzzi Tub, Large Shower. Updated & Beautiful Lower Family Rm W/ French Drs. Enjoy Living Near The Rustic Beauty Of The Humber River. Close To Schools, Shops, Humber Hospital, Airport, Transit. **","** Continued: This Home Features With Abundance Of Natural Light. 3 Years Old High Efficiency Furnace, Updated 100 Amps Braker Pannel! 21/2 Year Old Roof** All Light Fixtures, All Window Coverings, Fridge, Stove, Washer & Dryer.",5% Bank Draft Deposit.,1,Y,Fin W/O,N,Forced Air / Gas,None,N,,,,,,Brick,Private,Attached / 1.0,3,4,No,None,,,Y,Y,Y,Y,Municipal,,Sewers,,,,,,Unknown
4,28 Hopecrest Cres,M1K2K4,Toronto E04,1 1/2 Storey,"$791,000","$788,000","$2,984.08",37,45 x 199 Feet,6 + 1,3,3,"Beautifully Updated Spacious Family Home On A Quiet Dead-End Street. Huge ""Park Like"" Backyard, Backs Onto Massey Creek Ravine, Perfect For Families. Bright Eat-In Kitchen Overlooks The Yard, Large Principal Rooms Perfect For Entertaining. 3 Spacious Bedrooms. 3 Renovated Bathrooms. Renovated Basement Has High Ceilings W Gas Fireplace- Opportunity To Add 4th Bdrm. Close To All Amenities: Prime Shopping, Ttc, Go, Parks, Schools, Trails. Offers Welcome Anytime.","Freshly Painted, Roof 2017, Updated Windows, Fridge, Stove 2017, Washer, Dryer, Dishwasher 2017, All Elf's, 3 Ceiling Fans, Lge Garden Shed, Rear Awning (As Is), Garbage Storage Unit, Kids Play Structure 2016, A/C. A+ Home Insp. Avail.","Please Email Matt@Wrightsisters.Com For All Questions. Attach Sched B And 801 To All Offers. Offers Anytime. Home Inspection Summary Attached And Copy Of Survey Avail. 2 Hours Notice For Showings, No Showings After 8Pm.",1,N,Finished,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,None / 0.0,5,5,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
5,277 Conlins Rd,M1C1C4,Toronto E10,Bungalow,"$795,000","$795,000","$2,722.58",2,50 x 112 Feet,6 + 2,3 + 2,2,Beautiful Bungalow On A Huge Lot. Solid Brick Bungalow With Separate Entrance To 2 Bedroom Basement Apartment. Recent Renovated Top To Bottom. Shows Well. Close To Uoft Campus. Newer Furnace. Granite Counters. 2 Garden Sheds Income Apartment,,Offers Welcome Anytime,1 + 1,N,Finished / Sep Entrance,N,Forced Air / Gas,Central Air,,,,,,,Brick,Private,None / 0.0,4,4,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
6,77 Radwell Cres,M1V2J4,Toronto E07,Backsplit 4,"$780,000","$799,900","$3,260.99",24,30 x 110 Feet,5 + 1,4 + 1,2,Extremely Sought After Area In Milliken. Walking Distance To Public Transit And All Amenities That You Desire And Just Minutes From Pacific Mall. Curl Up Beside Your Wood Burning Fireplace In This Newly Renovated Backsplit. Don't Miss Out On This Great Opportunity!,"All Appliances, Washer And Dryer.",Attach Form 801 And Sched B To All Offers. No Showings Before 2Pm. La Is Related To Seller. Pls Attach Disclosure. Seller Is Disabled And May Be Present For Most Showings. Buyer's Agent To Verify Taxes.,1,Y,Part Fin,Y,Forced Air / Gas,Central Air,,,,,,,Brick,Private,Attached / 1.0,1,2,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
7,341 Friendship Ave,M1C2X8,Toronto E10,Bungalow,"$820,000","$849,000","$3,515.54",36,50 x 151 Feet,7,3 + 1,2,"This Beautiful Home In A Sought After Neighborhood Is Perfect For Any Family. Private Backyard With Stone Patio Which The Solid Wood Custom Kitchen Overlooks. A Gorgeous Custom Sunroom With Timber Wood Beams And W/O To Deck. Hardwood Throughout And Inlaw Capable Basement With Separate Entrance. Huge 4Pc Bath With Jacuzzi Tub On Main Floor And Stunning Bay Window In The Living Room. Stone Flooring, Clawfoot Tub In 2nd Br And Functional Fireplace In Basement.","All Elf's, Window Coverings Where Applicable And Appliances Included. Electric Fireplace In Sunroom Is Not Included. The Stone Ramp Is Wheelchair Accessible Without The Appearance Of Being So And Gutter Protection Was Recently Installed.",The Furnace Is A Rent To Own Which Will Be Discharged On Or Before Closing By The Sellers. Please Include 801 And Schedules With Any Offers. Thank You Kindly For Showing.,1,Y,Finished,Y,Forced Air / Gas,Central Air,,51-99,1500-2000,,,,Brick / Wood,Private,Attached / 1.0,3,4,,None,"Fenced Yard, School, Treed",,Y,Y,Y,Y,None,,Sewers,,,,Garden Shed,,"Accessibility, Unknown"
8,72 Seymour Ave,M4J3T5,Toronto E01,2 1/2 Storey,"$1,075,000","$1,129,000","$3,783.00",59,20 x 100 Feet,7 + 3,3 + 1,3,"Welcome To 72 Seymour. This Spacious, Elegant Home Is In The Sought After Neighborhood Of ""The Pocket."" Fully Renovated In 2008, This Jewel Has An Abundant Of Modern Touches. Features 3 Bdrms + 1 Bdrm In-Law Suite, Open Concept Living/Dining/Kitchen, Ss Appl, Hw Flrs, 2 Decks (Upper/Lower), 2-Pc Bathroom On Main. Cathedral Ceilings In Mstr And 2nd Bdrm, Spacious Loft. Bsmt Fully Finished To In-Law Suite With Separate Entrance. Steps To Schools And Transit.","French Doors To W/O, Three-Level Deck In Back, Stainless Steel Appliances Include: Fridge, Stove, B/I Microwave, Dishwasher, Hood. Built-In Bookshelf, Roof (2016). Stacked Washer/Dryer In Bsmt Laundry Room, All Elfs, Blinds, Garden Shed",Please Attach Sched B And Form 801 To All Offers. Allow 24Hr Irrevoc (Client Travel) E-Mail- Cartwright41@Yahoo.Ca. Basement Requires 24Hr Notice Min. Microwave(As Is). Seller Does Not Warrant Status Of The Basement.,1 + 1,Y,Finished / Sep Entrance,N,Water / Gas,Central Air,,,,,,,Stucco/Plaster / Vinyl Siding,None,None / 0.0,0,0,,None,,,,,,,Municipal,,Sewers,,,,,,Unknown
9,42 Alton Ave,M4L2M2,Toronto E01,2-Storey,"$1,130,000","$1,198,000","$4,074.09",14,20 x 117.5 Feet,7 + 3,2 + 1,2,Renovated Detached Home On Highly Sought After Leslieville St. Easily Convert Back To 3 Bdrm. 1 Block To Greenwood Pk (Amazing Amenities) & Mins To Ttc And Queen St.  Open Concept With Modern Finishings And Original Charm! Excellent For Entertaining W/ Majestic Marble Island As Well As Large Fenced In Back Yard Oasis W/ Multiple Decks & Outdoor Lighting. Expansive Master Suite (16X14) W/ Large Walk-In Closet! Tall Ceilings In Nanny Suite (Separate Entrance).,"2017:Bsmt Ext.Door, Fence/Decks, 2015:Bsmt Ceiling Soundproofing. 2013:Ac (Hi-Eff). 2011:Frt Roof; Electrical, Drains, Waterproofing, Subpump, Bsmt Reno. 2010:Attic Insulation 2009:Furnace (Hi Eff), 2007:Rr Roof. Mutual Driveway; Hwt Rental",Thank You For Showing! Offers Anytime With 12 Hour Irrevocable. Please Send To Brokerage@Realestatebay.Ca With Cc: Krabideau@Hotmail.Com; Disclosure: Realtor Is Owner.  Please Leave Lights On. Contact Kathy @ 647.295.7941/Krabideau@Hotmail.Com For Questions.,1 + 1,N,Apartment / Sep Entrance,Y,Forced Air / Gas,Central Air,,,1100-1500,,,,Brick,Mutual,None / 0.0,0,0,,None,"Fenced Yard, Park, Public Transit",,A,Y,Y,A,Municipal,,Sewers,,,,,,Unknown
